team_id,opp_team_id,game_id,game_dt,result,team_goals,opp_goals,points_earned,mins
LIV,NEW,41,2019-09-14T06:30:00Z,W,2,1,3,60
LIV,CHE,60,2019-09-22T10:30:00Z,W,2,0,3,60
LIV,SHU,61,2019-09-28T06:30:00Z,D,0,0,1,60
LIV,LC,73,2019-10-05T09:00:00Z,W,1,0,3,60
LIV,MU,89,2019-10-20T10:30:00Z,L,0,1,0,60
LIV,TOT,99,2019-10-27T11:30:00Z,D,1,1,1,60
LIV,AVL,103,2019-11-02T10:00:00Z,L,0,1,0,60
LIV,MC,120,2019-11-10T10:30:00Z,W,3,0,3,60
LIV,CP,125,2019-11-23T09:00:00Z,W,1,0,3,60
LIV,BHA,134,2019-11-30T09:00:00Z,W,2,0,3,60
LIV,EVE,148,2019-12-04T14:15:00Z,W,4,2,3,60
LIV,BOU,152,2019-12-07T09:00:00Z,W,3,0,3,60
LIV,WAT,161,2019-12-14T06:30:00Z,W,1,0,3,60
LIV,LC,188,2019-12-26T14:00:00Z,W,1,0,3,60
LIV,WOL,198,2019-12-29T10:30:00Z,W,1,0,3,60
LIV,SHU,209,2020-01-02T14:00:00Z,W,1,0,3,60
LIV,TOT,217,2020-01-11T11:30:00Z,W,1,0,3,60
LIV,MU,229,2020-01-19T10:30:00Z,W,1,0,3,60
LIV,WOL,239,2020-01-23T14:00:00Z,D,1,1,1,60
LIV,WHU,240,2020-01-29T13:45:00Z,W,2,0,3,60
LIV,SOU,244,2020-02-01T09:00:00Z,W,2,0,3,60
LIV,NOR,256,2020-02-15T11:30:00Z,D,0,0,1,60
LIV,WHU,270,2020-02-24T14:00:00Z,L,1,2,0,60
LIV,WAT,276,2020-02-29T11:30:00Z,L,0,2,0,60
LIV,BOU,279,2020-03-07T06:30:00Z,W,2,1,3,60
MC,WHU,2,2019-08-10T06:30:00Z,W,2,0,3,60
MC,TOT,17,2019-08-17T11:30:00Z,D,2,2,1,60
MC,BOU,28,2019-08-25T08:00:00Z,W,2,1,3,60
MC,BHA,35,2019-08-31T09:00:00Z,W,3,0,3,60
MC,NOR,47,2019-09-14T11:30:00Z,L,1,3,0,60
MC,WAT,55,2019-09-21T09:00:00Z,W,7,0,3,60
MC,EVE,68,2019-09-28T11:30:00Z,D,1,1,1,60
MC,WOL,78,2019-10-06T08:00:00Z,D,0,0,1,60
MC,CP,88,2019-10-19T11:30:00Z,W,2,0,3,60
MC,AVL,92,2019-10-26T06:30:00Z,W,1,0,3,60
MC,SOU,105,2019-11-02T10:00:00Z,L,0,1,0,60
MC,LIV,120,2019-11-10T10:30:00Z,L,0,3,0,60
MC,CHE,128,2019-11-23T11:30:00Z,W,2,1,3,60
MC,NEW,131,2019-11-30T06:30:00Z,D,1,1,1,60
MC,BUR,142,2019-12-03T14:15:00Z,W,1,0,3,60
MC,MU,155,2019-12-07T11:30:00Z,L,0,2,0,60
MC,ARS,169,2019-12-15T10:30:00Z,W,3,0,3,60
MC,LC,177,2019-12-21T11:30:00Z,W,2,1,3,60
MC,WOL,189,2019-12-27T13:45:00Z,W,2,1,3,60
MC,SHU,199,2019-12-29T12:00:00Z,W,1,0,3,60
MC,EVE,205,2020-01-01T11:30:00Z,W,2,0,3,60
MC,AVL,219,2020-01-12T09:30:00Z,W,5,0,3,60
MC,CP,223,2020-01-18T09:00:00Z,L,0,1,0,60
MC,SHU,233,2020-01-21T13:30:00Z,D,0,0,1,60
MC,TOT,250,2020-02-02T10:30:00Z,D,0,0,1,60
MC,WHU,260,2020-02-19T13:30:00Z,W,1,0,3,60
MC,LC,266,2020-02-22T11:30:00Z,D,0,0,1,60
MC,MU,287,2020-03-08T11:30:00Z,L,0,1,0,60
MU,CHE,10,2019-08-11T10:30:00Z,W,1,0,3,60
MU,WOL,20,2019-08-19T14:00:00Z,D,1,1,1,60
MU,CP,24,2019-08-24T09:00:00Z,L,0,1,0,60
MU,SOU,31,2019-08-31T06:30:00Z,D,1,1,1,60
MU,LC,43,2019-09-14T09:00:00Z,W,1,0,3,60
MU,WHU,58,2019-09-22T08:00:00Z,L,0,1,0,60
MU,ARS,70,2019-09-30T14:00:00Z,D,1,1,1,60
MU,NEW,80,2019-10-06T10:30:00Z,D,0,0,1,60
MU,LIV,89,2019-10-20T10:30:00Z,W,1,0,3,60
MU,NOR,100,2019-10-27T11:30:00Z,W,2,0,3,60
MU,BOU,101,2019-11-02T07:30:00Z,L,0,1,0,60
MU,BHA,118,2019-11-10T08:00:00Z,W,2,0,3,60
MU,SHU,129,2019-11-24T10:30:00Z,L,0,2,0,60
MU,AVL,140,2019-12-01T10:30:00Z,D,1,1,1,60
MU,TOT,145,2019-12-04T13:30:00Z,W,2,1,3,60
MU,MC,155,2019-12-07T11:30:00Z,W,2,0,3,60
MU,EVE,167,2019-12-15T08:00:00Z,L,0,1,0,60
MU,WAT,178,2019-12-22T08:00:00Z,L,0,2,0,60
MU,NEW,187,2019-12-26T11:30:00Z,W,4,1,3,60
MU,BUR,196,2019-12-28T13:45:00Z,W,1,0,3,60
MU,ARS,208,2020-01-01T14:00:00Z,L,0,2,0,60
MU,NOR,215,2020-01-11T09:00:00Z,W,3,0,3,60
MU,LIV,229,2020-01-19T10:30:00Z,L,0,1,0,60
MU,BUR,238,2020-01-22T14:15:00Z,L,0,2,0,60
MU,WOL,248,2020-02-01T11:30:00Z,D,0,0,1,60
MU,CHE,259,2020-02-17T14:00:00Z,W,1,0,3,60
MU,WAT,267,2020-02-23T08:00:00Z,W,2,0,3,60
MU,EVE,277,2020-03-01T08:00:00Z,D,1,1,1,60
MU,MC,287,2020-03-08T11:30:00Z,W,1,0,3,60
